id,make,model,currency,price,millage,year,promoted,sold,created_on,,
11677594972955683,Opel,Corsa,BGN,2777,213541,2003,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11677594972955683&slink=s4maga,2023-04-24,DEALER
11667802646848048,Opel,Corsa,BGN,4700,49000,2002,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11667802646848048&slink=s4maga,2023-04-24,DEALER
11681747055784575,Opel,Insignia,BGN,20900,110000,2016,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681747055784575&slink=s4maga,2023-04-24,DEALER
21680699654886687,Opel,Mokka,BGN,17300,172000,2014,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21680699654886687&slink=s4maga,2023-04-24,DEALER
11681828238293563,Peugeot,206,BGN,3400,185000,2003,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681828238293563&slink=s4maga,2023-04-24,DEALER
11673343352706631,Peugeot,308,BGN,9100,181525,2010,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11673343352706631&slink=s4maga,2023-04-24,DEALER
11679454272441646,Peugeot,308,BGN,0,168000,2018,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679454272441646&slink=s4maga,2023-04-24,DEALER
11679755964892694,Seat,Ibiza,BGN,9299,109560,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679755964892694&slink=s4maga,2023-04-24,DEALER
11682082841941497,Seat,Ibiza,BGN,0,102000,2015,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11682082841941497&slink=s4maga,2023-04-24,DEALER
11682082841941497,Seat,Ibiza,BGN,0,102000,2015,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11682082841941497&slink=s4maga,2023-04-24,DEALER
11678377396259393,Seat,Leon,BGN,8499,198000,2008,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11678377396259393&slink=s4maga,2023-04-24,DEALER
11673252558273284,Skoda,Superb,BGN,6299,246000,2004,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11673252558273284&slink=s4maga,2023-04-24,DEALER
11676649659532065,Skoda,Superb,BGN,23000,168500,2015,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11676649659532065&slink=s4maga,2023-04-24,DEALER
11668448394240867,Smart,Fortwo,BGN,2800,135086,1999,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11668448394240867&slink=s4maga,2023-04-24,DEALER
11680592190575991,Subaru,XV,BGN,19900,189000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680592190575991&slink=s4maga,2023-04-24,DEALER
11679642430861794,Toyota,Auris,BGN,10500,163000,2009,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679642430861794&slink=s4maga,2023-04-24,DEALER
11680165376571741,Toyota,Auris,BGN,9490,199506,2009,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680165376571741&slink=s4maga,2023-04-24,DEALER
11680379605288686,Toyota,bZ4X,BGN,107800,31,2023,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680379605288686&slink=s4maga,2023-04-24,DEALER
21680422631219336,Toyota,Rav4,BGN,17900,228897,2010,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21680422631219336&slink=s4maga,2023-04-24,DEALER
21675870954269492,Toyota,Rav4,BGN,19900,147000,2010,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21675870954269492&slink=s4maga,2023-04-24,DEALER
21680416616731880,Toyota,Rav4,BGN,20400,187875,2010,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21680416616731880&slink=s4maga,2023-04-24,DEALER
11680533986340264,Toyota,Yaris,BGN,26600,65000,2019,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680533986340264&slink=s4maga,2023-04-24,DEALER
21680000077426294,Volvo,XC60,BGN,29900,193000,2013,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21680000077426294&slink=s4maga,2023-04-24,DEALER
11681998879804057,VW,Golf,BGN,9990,142674,2008,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681998879804057&slink=s4maga,2023-04-24,DEALER
11662964668048572,VW,Passat,BGN,28500,120070,2016,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11662964668048572&slink=s4maga,2023-04-24,DEALER
11678430537612830,VW,Passat,BGN,0,174000,2014,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11678430537612830&slink=s4maga,2023-04-24,DEALER
11666983235985783,VW,Polo,BGN,0,130331,2012,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11666983235985783&slink=s4maga,2023-04-24,DEALER
11674151982180348,VW,Touran,BGN,13500,197000,2012,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11674151982180348&slink=s4maga,2023-04-24,DEALER
11681748357222019,VW,Touran,BGN,13999,228000,2008,true,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681748357222019&slink=s4maga,2023-04-24,DEALER
11663329936406358,Alfa,Romeo,BGN,8500,230000,2007,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11663329936406358&slink=s4maga,2023-04-24,DEALER
11663329936406358,Alfa,Romeo,BGN,8500,230000,2007,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11663329936406358&slink=s4maga,2023-04-24,DEALER
11681741309843833,Alfa,Romeo,BGN,50000,57600,2020,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681741309843833&slink=s4maga,2023-04-24,DEALER
11680793603412536,Audi,A3,BGN,6900,173700,2005,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680793603412536&slink=s4maga,2023-04-24,DEALER
11670354785463949,Audi,A3,BGN,7699,207580,2006,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11670354785463949&slink=s4maga,2023-04-24,DEALER
11679245222341790,Audi,A3,BGN,17999,229456,2013,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679245222341790&slink=s4maga,2023-04-24,DEALER
11671532430680682,Audi,A4,BGN,12499,250000,2009,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11671532430680682&slink=s4maga,2023-04-24,DEALER
11679322421946957,Audi,A4,BGN,19450,200000,2008,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679322421946957&slink=s4maga,2023-04-24,DEALER
11671598008372466,Audi,A4,BGN,24888,180000,2012,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11671598008372466&slink=s4maga,2023-04-24,DEALER
11675109774161311,Audi,A4,BGN,34999,190120,2016,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11675109774161311&slink=s4maga,2023-04-24,DEALER
11682198988601160,Audi,A4,BGN,49000,148000,2019,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11682198988601160&slink=s4maga,2023-04-24,DEALER
11679403630642891,Audi,A5,BGN,37000,133800,2013,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679403630642891&slink=s4maga,2023-04-24,DEALER
11676232595396509,Audi,A5,BGN,34999,160000,2012,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11676232595396509&slink=s4maga,2023-04-24,DEALER
11679901576135458,Audi,A6,BGN,45000,249000,2015,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679901576135458&slink=s4maga,2023-04-24,DEALER
11669707337297611,Audi,A6,BGN,89900,75000,2019,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11669707337297611&slink=s4maga,2023-04-24,DEALER
11677281893853581,Audi,A6,BGN,0,216357,2014,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11677281893853581&slink=s4maga,2023-04-24,DEALER
11681226463436884,Audi,A6,BGN,9200,225777,2008,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681226463436884&slink=s4maga,2023-04-24,DEALER
11679576401205246,Audi,A6,BGN,34888,200000,2012,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679576401205246&slink=s4maga,2023-04-24,DEALER
11679897586352060,Audi,A6,BGN,0,135000,2014,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679897586352060&slink=s4maga,2023-04-24,DEALER
11674979498285142,Audi,A7,BGN,25990,76532,2015,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11674979498285142&slink=s4maga,2023-04-24,DEALER
11678700636265392,Audi,A8,BGN,36888,197000,2012,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11678700636265392&slink=s4maga,2023-04-24,DEALER
11675271589936811,Audi,A8,BGN,42000,144000,2004,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11675271589936811&slink=s4maga,2023-04-24,DEALER
11675271589936811,Audi,A8,BGN,42000,144000,2004,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11675271589936811&slink=s4maga,2023-04-24,DEALER
11674660835133186,Audi,A8,BGN,46000,174000,2012,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11674660835133186&slink=s4maga,2023-04-24,DEALER
11663534009115152,Audi,A8,BGN,93444,167334,2019,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11663534009115152&slink=s4maga,2023-04-24,DEALER
21677273763052091,Audi,Q3,BGN,28499,173600,2014,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21677273763052091&slink=s4maga,2023-04-24,DEALER
21676582603762479,Audi,Q7,BGN,18900,196576,2008,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21676582603762479&slink=s4maga,2023-04-24,DEALER
11562412137330236,Audi,Q7,BGN,25500,45,2010,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11562412137330236&slink=s4maga,2023-04-24,DEALER
21676371077527656,Audi,Q7,BGN,75999,178000,2015,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21676371077527656&slink=s4maga,2023-04-24,DEALER
21678394993228780,Audi,Q8,BGN,97000,8380,2022,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21678394993228780&slink=s4maga,2023-04-24,DEALER
21676221593951849,Audi,SQ5,BGN,39777,186332,2015,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21676221593951849&slink=s4maga,2023-04-24,DEALER
21676468019358750,Audi,SQ5,BGN,44995,138325,2014,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21676468019358750&slink=s4maga,2023-04-24,DEALER
21673355175909724,Audi,SQ7,BGN,102000,152000,2016,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21673355175909724&slink=s4maga,2023-04-24,DEALER
21664455150536874,Audi,SQ8,EUR,110000,47000,2020,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21664455150536874&slink=s4maga,2023-04-24,DEALER
