id,make,model,currency,price,millage,year,promoted,sold,created_on
11681299211887141,Opel,Insignia,BGN,27500,118016,2015,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681299211887141&slink=s3gfw0,2023-04-19
11673875066553882,Opel,Zafira,BGN,10995,181599,2011,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11673875066553882&slink=s3gfw0,2023-04-19
11677746564313476,Peugeot,208,BGN,47990,1400,2022,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11677746564313476&slink=s3gfw0,2023-04-19
11677568087456393,Peugeot,Expert,BGN,5390,257000,2006,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11677568087456393&slink=s3gfw0,2023-04-19
11674457224623712,Peugeot,Partner,BGN,10300,203000,2009,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11674457224623712&slink=s3gfw0,2023-04-19
21681128792471001,Renault,Kadjar,BGN,35980,79350,2019,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21681128792471001&slink=s3gfw0,2023-04-19
11680869879101932,Renault,Laguna,BGN,4800,186400,2006,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680869879101932&slink=s3gfw0,2023-04-19
11631598195364672,Subaru,G3x,BGN,7600,105000,2008,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11631598195364672&slink=s3gfw0,2023-04-19
11671809094191125,Tesla,Model,BGN,89900,45000,2020,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11671809094191125&slink=s3gfw0,2023-04-19
21679683095107297,Toyota,Highlander,BGN,133500,14092,2022,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=21679683095107297&slink=s3gfw0,2023-04-19
11681127210637948,Toyota,Yaris,BGN,42500,14000,2021,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681127210637948&slink=s3gfw0,2023-04-19
11681199908399524,Volvo,V60,BGN,23880,186000,2015,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11681199908399524&slink=s3gfw0,2023-04-19
11679399142025505,VW,Caddy,BGN,15550,157976,2007,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11679399142025505&slink=s3gfw0,2023-04-19
11680868173356293,VW,Golf,BGN,16625,194000,2013,false,true,//www.mobile.bg/pcgi/mobile.cgi?act=4&adv=11680868173356293&slink=s3gfw0,2023-04-19
