id,make,model,price,promoted,sold,millage,year,currency,created_on,updated_on
11677245232245175,Opel,Corsa,18300,false,true,21180,2017,BGN,1681308213,
21678895314169486,Honda,Cr-v,21700,false,true,187000,2008,BGN,1681308154,
11679935316232264,Lada,Kalina,1450,false,true,340876,2006,BGN,1681308176,
11675678496292457,Tesla,Model,94999,false,true,5400,2022,BGN,1681308230,
11668105902460239,Mercedes-Benz,E,0,false,true,204800,2017,BGN,1681308197,
11680025758331812,BMW,335,33300,false,true,117000,2015,BGN,1681308146,
21671133257166936,Jeep,Grand,0,false,true,174951,2004,BGN,1681308175,
11672476189381308,BMW,530,67900,false,true,133890,2017,BGN,1681308146,
21672914955279809,Toyota,Land,125000,false,true,48000,2021,BGN,1681308240,
21678738310913324,Hyundai,Tucson,0,false,true,187351,2010,BGN,1681308171,
11678743247305312,Ford,Connect,0,false,true,173951,2007,BGN,1681308154,
11675079779430958,Ford,Galaxy,0,false,true,157317,2008,BGN,1681308154,
21679692957535275,Fiat,Freemont,20500,true,true,162296,2016,BGN,1681308100,
11679130695683634,BMW,530,12550,false,true,192525,2006,BGN,1681308146,
11675444303211202,VW,Golf,23500,false,true,82000,2018,BGN,1681308252,
21677857413244404,Chevrolet,Captiva,12800,true,true,227000,2012,BGN,1681308095,
21679062672406897,Honda,Cr-v,25500,false,true,93396,2010,BGN,1681308163,
11672980722725997,Opel,Ampera,23000,false,true,230000,2012,BGN,1681308213,
21679468655625306,Honda,Cr-v,28400,false,true,158495,2013,BGN,1681308163,
11632843022212698,Ferrari,F430,81500,false,true,53700,2007,EUR,1681308149,
21676221593951849,Audi,SQ5,39777,false,true,186332,2015,BGN,1681308145,
21680421038762381,Honda,Cr-v,13900,false,true,182799,2008,BGN,1681308154,
11673008557616459,Audi,A8,15999,false,true,211476,2007,BGN,1681308139,
11670398068753619,VW,Polo,9950,false,true,147000,2011,BGN,1681308252,
11678779709451887,Ford,Fiesta,15300,true,true,119000,2015,BGN,1681308100,
21675226119906096,Hyundai,Santa,35888,false,true,166000,2014,BGN,1681308163,
11679236601178493,Renault,Megane,10600,false,true,173000,2011,BGN,1681308224,
21678534599427682,Mitsubishi,Outlander,49999,false,true,34000,2020,BGN,1681308212,
11674490017061118,Audi,A6,9500,false,true,256666,2006,BGN,1681308139,
21668933102195720,SsangYong,Actyon,0,false,true,147351,2009,BGN,1681308226,
21679748308515625,Dacia,Duster,9000,false,true,220850,2010,BGN,1681308149,
21681037209999879,Land,Rover,9000,false,true,148000,2011,BGN,1681308185,
11676850903194999,BMW,435,0,false,true,125,2016,BGN,1681308146,
21678391086422444,Jeep,Compass,13999,false,true,198500,2012,BGN,1681308175,
11677144394748178,Mercedes-Benz,C,0,false,true,187000,2010,BGN,1681308193,
11650264368936095,BMW,M5,90000,false,true,9140,2021,EUR,1681308147,
21679824033733245,BMW,X6,31900,false,true,179000,2009,BGN,1681308147,
11678274884567702,Seat,Ibiza,3799,false,true,158000,2005,BGN,1681308224,
11677785916120502,Citroen,C4,16700,false,true,196800,2015,BGN,1681308149,
11670768085196622,VW,Golf,15900,true,true,182000,2011,BGN,1681308131,
11572426012950088,Ford,Focus,8295,false,true,202382,2008,BGN,1681308154,
11640710617790517,Toyota,Rav4,0,false,true,189500,2005,BGN,1681308240,
11677518800136681,Mercedes-Benz,E,10600,true,true,198000,2007,BGN,1681308094,
11677513825604454,Mercedes-Benz,E,12400,false,true,366000,2006,BGN,1681308197,
11583455633384226,Hyundai,Sonata,27000,false,true,81000,2016,BGN,1681308171,
21654373073643624,Hyundai,Tucson,46888,false,true,95000,2017,BGN,1681308171,
21670833586030948,Mercedes-Benz,GL,35500,false,true,195450,2011,BGN,1681308206,
11680161136095713,VW,Golf,15700,false,true,143950,2015,BGN,1681308248,
11674142046414490,Smart,Forfour,33300,false,true,15104,2020,BGN,1681308226,
11670244995245575,VW,Golf,29990,false,true,132859,2018,BGN,1681308252,
11679426382748117,BMW,330,13990,false,true,250000,2006,BGN,1681308146,
11678389945896672,BMW,435,52900,false,true,170000,2016,BGN,1681308146,
11656158219207456,Fiat,Bravo,5999,false,true,176000,2009,BGN,1681308149,
11680363153203994,Chevrolet,Aveo,11500,false,true,168000,2012,BGN,1681308147,
21679559007573538,Nissan,Qashqai,12999,true,true,150000,2009,BGN,1681308111,
21676118770214616,Hyundai,Santa,77000,false,true,4305,2021,BGN,1681308171,
11680765364101138,Peugeot,3008,9899,true,true,198593,2009,BGN,1681308121,
21679071284684016,Audi,Q7,74500,false,true,80000,2018,BGN,1681308145,
11676648333762140,Opel,Astra,5499,true,true,149000,2006,BGN,1681308094,
21671808812015160,Daihatsu,Terios,10700,true,true,199000,2007,BGN,1681308100,
11680936879974833,Nissan,Almera,2200,true,true,227487,2003,BGN,1681308094,
11681047877522838,BMW,530,21990,true,true,167000,2011,BGN,1681308095,
21679327147074123,Nissan,Qashqai,41900,false,true,40597,2020,BGN,1681308213,
11674047367270892,Mercedes-Benz,GLA,37600,false,true,174600,2018,BGN,1681308206,
21660653283113081,Dacia,Duster,24995,false,true,224257,2019,BGN,1681308149,
21668812253680856,Toyota,Land,33800,false,true,186000,2005,BGN,1681308240,
11679932755927775,Fiat,Punto,9400,false,true,144291,2012,BGN,1681308149,
11678208530796471,Mercedes-Benz,C,35880,false,true,159462,2016,BGN,1681308193,
11679047070139579,Toyota,Corolla,39990,false,true,21000,2022,BGN,1681308230,
21679895968527447,Nissan,Qashqai,15900,true,true,183000,2011,BGN,1681308111,
11671022745534910,Renault,Clio,6300,false,true,187000,2011,BGN,1681308224,
11679486973938020,Peugeot,508,68500,false,true,6122,2022,BGN,1681308217,
21668661286927216,Mercedes-Benz,ML,62888,false,true,158000,2013,BGN,1681308206,
11680444127704946,Mitsubishi,Lancer,10000,false,true,201801,2011,BGN,1681308212,
21660641344908573,Nissan,X-trail,27995,false,true,173672,2016,BGN,1681308213,
11674460006203413,BMW,540,74000,false,true,58300,2017,BGN,1681308146,
11679940216712648,Opel,Zafira,25000,false,true,265000,2020,BGN,1681308214,
11679322421946957,Audi,A4,19450,false,true,200000,2008,BGN,1681308131,
11668697983685308,Citroen,C3,12921,true,true,154000,2011,BGN,1681308095,
21675351092901778,BMW,X6,25500,true,true,223000,2009,BGN,1681308095,
11668461471587525,Mercedes-Benz,E,14760,false,true,298000,2008,BGN,1681308197,
11680264680496854,Renault,Megane,20900,false,true,172000,2017,BGN,1681308224,
21681120824712928,Mercedes-Benz,GL,39950,false,true,156000,2013,BGN,1681308197,
11677424714360677,Toyota,Yaris,8500,true,true,126000,2010,BGN,1681308121,
11677513019965642,Opel,Meriva,11800,false,true,118000,2011,BGN,1681308214,
11679926965089708,Seat,Leon,0,false,true,148000,2010,BGN,1681308226,
11677784827654075,Kia,Carens,0,false,true,165731,2009,BGN,1681308175,
11674054371633194,Peugeot,508,28800,false,true,156313,2017,BGN,1681308217,
11679643093858855,BMW,318,2200,false,true,211623,1997,BGN,1681308145,
11650483021451382,BMW,730,0,false,true,228000,2010,BGN,1681308146,
21673285980505657,Porsche,Cayenne,41999,false,true,217300,2011,BGN,1681308217,
11674680148918251,Toyota,Avensis,14900,true,true,240000,2012,BGN,1681308121,
21680618059952747,Audi,Q7,0,true,true,235800,2007,BGN,1681308095,
11674161160089710,Fiat,Punto,5999,true,true,179300,2012,BGN,1681308100,
11674584830120203,Peugeot,5008,66900,false,true,67000,2019,BGN,1681308217,
11678572968460597,Audi,A4,2700,false,true,301000,1997,BGN,1681308131,
21675361270787253,Nissan,Qashqai,15850,false,true,186000,2012,BGN,1681308212,
21637002407653469,Hyundai,Santa,88500,false,true,3056,2022,BGN,1681308171,
11674979498285142,Audi,A7,27990,false,true,76532,2015,BGN,1681308139,
11670837664219260,Audi,A8,30499,false,true,309500,2010,BGN,1681308139,
11680172133317294,Audi,A3,18999,true,true,214000,2013,BGN,1681308094,
11651342816072598,Lamborghini,Gallardo,148500,false,true,29000,2010,EUR,1681308176,
11676453023904162,Peugeot,2008,28888,true,true,69000,2018,BGN,1681308121,
11669707337297611,Audi,A6,89900,false,true,75000,2019,BGN,1681308139,
11668239044638300,Opel,Astra,5300,true,true,231000,2004,BGN,1681308111,
11679595348387914,Hyundai,I30,10300,false,true,160000,2013,BGN,1681308163,
11661268233522488,Nissan,Leaf,21900,true,true,54000,2013,BGN,1681308111,
21680710497556372,Honda,Cr-v,18299,true,true,162750,2007,BGN,1681308100,
11678181189419633,Renault,Talisman,37900,false,true,121600,2017,BGN,1681308224,
21679758448829352,Toyota,Rav4,25000,false,true,76792,2010,BGN,1681308240,
11501839261132344,VW,Golf,4000,false,true,179268,1996,BGN,1681308248,
11677709102070613,Mercedes-Benz,S,17000,false,true,199000,2013,BGN,1681308206,
11680525968678457,Honda,Fr-v,7000,false,true,182000,2007,BGN,1681308163,
11678981370748506,VW,Passat,39900,false,true,90956,2018,BGN,1681308252,
21664455150536874,Audi,SQ8,110000,false,true,47000,2020,EUR,1681308145,
21672838214002781,VW,Touareg,38880,false,true,270000,2015,BGN,1681308252,
11660394674762445,Toyota,Avensis,9999,false,true,198000,2007,BGN,1681308230,
11656149579513590,VW,Golf,11500,false,true,190000,2010,BGN,1681308248,
21677273763052091,Audi,Q3,28499,false,true,173600,2014,BGN,1681308139,
11677227391073352,Seat,Leon,16900,true,true,197000,2013,BGN,1681308121,
11675198605360701,BMW,320,27500,false,true,156400,2018,BGN,1681308145,
11680403397442330,Mercedes-Benz,C,18800,false,true,236812,2009,BGN,1681308193,
11677945957748464,Mercedes-Benz,C,18990,false,true,188000,2009,BGN,1681308193,
11671815268782263,Mercedes-Benz,S,61900,true,true,264000,2014,BGN,1681308094,
11669842155471842,Mercedes-Benz,CLS,34999,false,true,213000,2015,BGN,1681308193,
21677770767074456,Dacia,Duster,29900,false,true,96200,2018,BGN,1681308149,
11680521834152079,Mercedes-Benz,B,8299,false,true,202000,2008,BGN,1681308193,
